INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
185760787,07/28/2018,22:16:00,BROOKLYN,OUTSIDE,61,0.0,STREET,,1001757,157836,40.599883,-73.936954
145953843,09/08/2015,01:18:00,BROOKLYN,INSIDE,60,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,989721,155596,40.593752,-73.980298
142247298,04/18/2015,02:19:00,BROOKLYN,OUTSIDE,75,0.0,STREET,,1017044,186975,40.67982,-73.881764
50589209,08/26/2008,23:42:00,BROOKLYN,OUTSIDE,90,0.0,HOUSING,MULTI DWELL - PUBLIC HOUS,993513,197321,40.708281,-73.966588
81445165,10/30/2011,10:34:00,QUEENS,OUTSIDE,105,0.0,STREET,,1055836,196512,40.70576719,-73.74180581
51494663,09/18/2008,16:05:00,BROOKLYN,OUTSIDE,67,0.0,STREET,,999354,172685,40.640653,-73.945576
85954102,07/27/2012,00:30:00,BROOKLYN,OUTSIDE,67,0.0,STREET,PVT HOUSE,1004666,181265,40.664185,-73.926408
74920747,10/04/2010,22:32:00,BROOKLYN,OUTSIDE,75,0.0,STREET,,1014453,185517,40.675836,-73.891115
249502219,08/12/2022,18:02:00,BROOKLYN,OUTSIDE,73,0.0,STREET,,1009534,179224,40.658579,-73.908872
51559653,09/20/2008,22:15:00,QUEENS,OUTSIDE,100,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1037417,153512,40.58788,-73.808576
227344201,04/23/2021,21:19:00,BROOKLYN,OUTSIDE,73,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1009904,180751,40.662761,-73.907529
288491502,06/13/2024,21:56:00,BROOKLYN,OUTSIDE,75,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1013030,182525,40.66763,-73.896256
269184587,06/01/2023,16:07:00,BRONX,OUTSIDE,44,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1008392,241796,40.830318,-73.912759
87234252,10/14/2012,19:34:00,MANHATTAN,OUTSIDE,23,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,999154,226675,40.788836,-73.946175
144479290,07/13/2015,23:40:00,BROOKLYN,OUTSIDE,77,0.0,STREET,,1003155,185530,40.675894,-73.931842
279863276,01/02/2024,14:57:00,BRONX,OUTSIDE,45,0.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1032217,239443,40.823771,-73.826687
201291292,08/18/2019,02:30:00,BROOKLYN,OUTSIDE,73,0.0,STREET,,1006375,181512,40.664858,-73.920246
35836271,11/19/2007,03:00:00,BROOKLYN,OUTSIDE,71,0.0,STREET,,995255,178879,40.65766,-73.960336
223505520,01/22/2021,17:00:00,BRONX,INSIDE,43,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1026327,237618,40.818784,-73.847977
214694696,06/27/2020,23:45:00,BRONX,OUTSIDE,44,0.0,STREET,,1007951,241445,40.829355,-73.914355
84243697,04/17/2012,01:09:00,BRONX,OUTSIDE,46,0.0,STREET,,1009206,250494,40.854188,-73.909787
138693354,09/12/2014,21:30:00,BROOKLYN,OUTSIDE,69,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1015077,169958,40.633119,-73.888933
81843638,11/23/2011,16:28:00,BRONX,INSIDE,41,0.0,DWELLING,MULTI DWELL - APT BUILD,1011695,237702,40.819081,-73.900845
224659382,02/20/2021,15:00:00,STATEN ISLAND,OUTSIDE,120,0.0,STREET,,961394,164734,40.618806,-74.082327
239521789,01/21/2022,18:19:00,MANHATTAN,INSIDE,32,0.0,DWELLING,MULTI DWELL - APT BUILD,1000227,236101,40.814706,-73.942277
147237493,10/24/2015,23:45:00,BROOKLYN,OUTSIDE,79,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,998205,190418,40.68933,-73.94968
286460099,05/06/2024,23:14:00,QUEENS,OUTSIDE,100,0.0,STREET,,1033671,152134,40.58412,-73.822075
49236360,07/27/2008,03:49:00,QUEENS,OUTSIDE,113,0.0,STREET,,1049297,187681,40.68157871,-73.76547563
151401849,03/21/2016,11:59:00,BROOKLYN,OUTSIDE,67,0.0,STREET,,999662,175419,40.648149,-73.94446
244219635,04/26/2022,23:08:00,BRONX,INSIDE,48,0.0,DWELLING,MULTI DWELL - APT BUILD,1015965,246113,40.842143,-73.885374
163422744,04/03/2017,14:57:00,QUEENS,OUTSIDE,113,0.0,STREET,,1046315,187088,40.67998073847,-73.7762339072
84293310,04/18/2012,00:57:00,BRONX,INSIDE,42,0.0,DWELLING,MULTI DWELL - APT BUILD,1010206,241775,40.830256,-73.906205
91324169,06/25/2013,16:30:00,BROOKLYN,OUTSIDE,81,0.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1005827,187068,40.680111,-73.922205
47229778,06/14/2008,14:20:00,BROOKLYN,OUTSIDE,67,0.0,STREET,,1001289,171734,40.638031,-73.938606
142414703,04/25/2015,02:17:00,BROOKLYN,INSIDE,75,0.0,DWELLING,MULTI DWELL - APT BUILD,1014906,179735,40.659956,-73.889505
91198149,06/18/2013,00:20:00,BRONX,OUTSIDE,49,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1022083,251879,40.857944,-73.86323
170368033,10/13/2017,13:53:00,QUEENS,OUTSIDE,113,0.0,STREET,,1051576,184402,40.672563,-73.757289
234973159,10/14/2021,10:40:00,MANHATTAN,OUTSIDE,33,0.0,STREET,,999123,244700,40.838309,-73.946248
78378014,04/23/2011,01:25:00,BRONX,OUTSIDE,48,0.0,VEHICLE,,1015776,250485,40.854144,-73.886038
143583695,06/09/2015,19:57:00,MANHATTAN,OUTSIDE,23,0.0,STREET,,1000267,225914,40.786754,-73.94216
82122314,12/10/2011,00:13:00,MANHATTAN,OUTSIDE,9,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,990377,204681,40.728477,-73.977891
79896470,07/20/2011,12:39:00,BROOKLYN,OUTSIDE,73,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1009168,184324,40.672577,-73.910171
